Nome,Sobrenome,Email,Endereço,Data de Nascimento,Sexo,CPF
Isabella,Ramos,vicenteribeiro@cunha.com,"Avenida Maria Cecília Novaes, 58
Vila Nova Paraíso
60671248 Silva / AM",17/04/1951,Masculino,837.501.964-00
Daniela,Gonçalves,wvieira@yahoo.com.br,"Parque da Rosa, 34
Paquetá
42078756 Sales / TO",24/05/1978,Masculino,019.627.385-40
Bruno,Moreira,alvesjoao-vitor@gmail.com,"Campo de Caldeira, 66
Olhos D'água
37302-489 Costela de Minas / BA",06/01/1991,Masculino,824.310.796-78
Juan,Nascimento,raquel30@hotmail.com,"Fazenda Dias
Marmiteiros
84727075 Nunes das Pedras / PB",21/09/1980,Feminino,215.639.047-99
Marcela,Jesus,otavio23@uol.com.br,"Sítio de Vieira, 97
Acaba Mundo
71085554 Moraes do Sul / AL",09/03/1942,Masculino,269.418.350-60
Pedro Lucas,Gonçalves,brendaalmeida@da.net,"Rodovia Jesus, 4
Bernadete
53317-167 da Rocha do Galho / CE",08/06/1956,Feminino,021.638.479-69
Davi,Rocha,laracostela@souza.org,"Loteamento de Campos, 88
Álvaro Camargos
16837-744 Azevedo de Barros / SE",13/12/2002,Feminino,734.509.612-25
Ana Laura,Rodrigues,isabellycavalcanti@yahoo.com.br,"Parque Isabel Pinto, 98
Eymard
37721-322 Martins de Goiás / MA",11/04/1961,Feminino,470.568.123-17
Erick,Cunha,pporto@gmail.com,"Condomínio Maria Clara da Costa, 353
Beira Linha
04661869 Moreira / TO",13/01/1940,Masculino,510.847.693-01
Clarice,Barros,peixotolucas@pires.br,"Rodovia de Martins, 79
Boa Viagem
02728-078 Moreira / SC",27/08/1942,Masculino,869.754.132-82
Gabrielly,Pires,oliviasouza@bol.com.br,"Condomínio de Sales, 85
João Paulo Ii
09464877 Vieira / MS",07/07/1954,Masculino,342.590.187-79
João Lucas,Araújo,igor38@uol.com.br,"Recanto Porto, 91
Confisco
58968900 Almeida / MS",11/02/1990,Feminino,791.843.605-93
Lucca,Santos,vitor-hugoda-mota@porto.com,"Rua de Araújo, 508
Pindorama
57573-369 Silveira Verde / MT",22/11/1946,Feminino,387.940.256-65
Nicolas,Pinto,thales96@ig.com.br,"Vila Henrique Cunha, 31
Fernão Dias
44820638 Vieira / TO",06/03/1947,Feminino,806.714.293-96
Luiz Miguel,Souza,luiz-fernandomendes@bol.com.br,"Rua Alves, 69
Cenaculo
25611245 Correia da Mata / CE",29/10/1989,Masculino,735.064.219-99
Alana,Fogaça,silveiraolivia@uol.com.br,"Largo de Nogueira, 90
Vila Nova Gameleira 3ª Seção
74803681 da Mota / PI",10/01/1989,Feminino,154.092.638-98
Lucas,Caldeira,jgoncalves@ig.com.br,"Praia Pereira, 25
São Bento
98007891 Castro / GO",14/12/1961,Feminino,347.196.285-91
Leonardo,Silveira,joao-miguel72@araujo.br,"Pátio Maria Alice Gonçalves, 27
Santa Margarida
91509580 Moraes da Praia / AM",16/11/1997,Feminino,569.734.012-52
